date	worst_borough	time
2009-07-01	Staten Island	285
2009-08-01	The Bronx	287
2009-09-01	Queens	283
2009-10-01	Queens	291
2009-11-01	Queens	285
2009-12-01	Queens	296
2010-01-01	Queens	289
2010-02-01	Staten Island	334
2010-03-01	Staten Island	338
2010-04-01	Staten Island	285
2010-05-01	Staten Island	289
2010-06-01	The Bronx	289
2010-06-01	Queens	289
