date	best_borough	time
2009-07-01	Brooklyn	241
2009-08-01	Brooklyn	241
2009-09-01	Brooklyn	238
2009-10-01	Brooklyn	241
2009-11-01	Brooklyn	241
2009-12-01	Brooklyn	249
2010-01-01	Brooklyn	242
2010-02-01	Brooklyn	255
2010-03-01	Brooklyn	252
2010-04-01	Brooklyn	241
2010-05-01	Brooklyn	244
2010-06-01	Brooklyn	247
