date	type	location	count	response
2009-09-01	Non Medical Emergencies	Brooklyn	3880	251
2009-09-01	Non Medical Emergencies	Queens	2528	306
2009-09-01	False Alarm	Citywide	2187	247
2009-09-01	False Alarm	Manhattan	373	260
2009-09-01	False Alarm	The Bronx	563	260
2009-09-01	False Alarm	Staten Island	217	249
2009-09-01	False Alarm	Brooklyn	457	212
2009-09-01	False Alarm	Queens	577	251
2009-09-01	Medical False Alarm	Citywide	405	254
2009-09-01	Medical False Alarm	Manhattan	94	266
2009-09-01	Medical False Alarm	The Bronx	92	237
2009-09-01	Medical False Alarm	Staten Island	13	312
2009-09-01	Medical False Alarm	Brooklyn	96	221
2009-09-01	Medical False Alarm	Queens	110	279
2009-09-01	All Fire/Emergency Incidents	Citywide	37082	267
2009-09-01	All Fire/Emergency Incidents	Manhattan	9822	277
2009-09-01	All Fire/Emergency Incidents	The Bronx	7411	276
2009-09-01	All Fire/Emergency Incidents	Staten Island	1998	273
2009-09-01	All Fire/Emergency Incidents	Brooklyn	10398	238
2009-09-01	All Fire/Emergency Incidents	Queens	7453	283
2009-10-01	Structural Fires	Citywide	2290	236
2009-10-01	Structural Fires	Manhattan	501	248
2009-10-01	Structural Fires	The Bronx	528	242
2009-10-01	Structural Fires	Staten Island	92	254
2009-10-01	Structural Fires	Brooklyn	749	212
2009-10-01	Structural Fires	Queens	420	255
2009-10-01	Non Structural Fires	Citywide	1110	256
2009-10-01	Non Structural Fires	Manhattan	281	257
2009-10-01	Non Structural Fires	The Bronx	191	266
2009-10-01	Non Structural Fires	Staten Island	47	267
2009-10-01	Non Structural Fires	Brooklyn	311	227
2009-10-01	Non Structural Fires	Queens	280	280
2009-10-01	Medical Emergencies	Citywide	17377	257
2009-10-01	Medical Emergencies	Manhattan	4584	260
2009-10-01	Medical Emergencies	The Bronx	3253	263
2009-10-01	Medical Emergencies	Staten Island	904	270
2009-10-01	Medical Emergencies	Brooklyn	5006	234
2009-10-01	Medical Emergencies	Queens	3630	277
2009-10-01	Non Medical Emergencies	Citywide	17663	288
2009-10-01	Non Medical Emergencies	Manhattan	4721	289
2009-10-01	Non Medical Emergencies	The Bronx	3645	305
2009-10-01	Non Medical Emergencies	Staten Island	989	311
2009-10-01	Non Medical Emergencies	Brooklyn	4893	254
2009-10-01	Non Medical Emergencies	Queens	3415	313
2009-10-01	False Alarm	Citywide	2135	251
2009-10-01	False Alarm	Manhattan	375	257
2009-10-01	False Alarm	The Bronx	544	262
2009-10-01	False Alarm	Staten Island	203	248
2009-10-01	False Alarm	Brooklyn	462	223
2009-10-01	False Alarm	Queens	551	261
2009-10-01	Medical False Alarm	Citywide	399	259
2009-10-01	Medical False Alarm	Manhattan	101	246
2009-10-01	Medical False Alarm	The Bronx	92	274
2009-10-01	Medical False Alarm	Staten Island	12	271
2009-10-01	Medical False Alarm	Brooklyn	100	225
2009-10-01	Medical False Alarm	Queens	94	295
2009-10-01	All Fire/Emergency Incidents	Citywide	40974	270
2009-10-01	All Fire/Emergency Incidents	Manhattan	10563	274
2009-10-01	All Fire/Emergency Incidents	The Bronx	8253	282
2009-10-01	All Fire/Emergency Incidents	Staten Island	2247	286
2009-10-01	All Fire/Emergency Incidents	Brooklyn	11521	241
2009-10-01	All Fire/Emergency Incidents	Queens	8390	291
2009-11-01	Structural Fires	Citywide	2430	238
2009-11-01	Structural Fires	Manhattan	583	252
2009-11-01	Structural Fires	The Bronx	546	240
2009-11-01	Structural Fires	Staten Island	97	272
2009-11-01	Structural Fires	Brooklyn	759	211
2009-11-01	Structural Fires	Queens	445	258
2009-11-01	Non Structural Fires	Citywide	1156	262
2009-11-01	Non Structural Fires	Manhattan	260	253
2009-11-01	Non Structural Fires	The Bronx	167	289
2009-11-01	Non Structural Fires	Staten Island	100	278
2009-11-01	Non Structural Fires	Brooklyn	342	230
2009-11-01	Non Structural Fires	Queens	287	290
2009-11-01	Medical Emergencies	Citywide	16751	258
2009-11-01	Medical Emergencies	Manhattan	4284	265
2009-11-01	Medical Emergencies	The Bronx	3122	268
2009-11-01	Medical Emergencies	Staten Island	909	266
2009-11-01	Medical Emergencies	Brooklyn	4832	236
2009-11-01	Medical Emergencies	Queens	3604	272
2009-11-01	Non Medical Emergencies	Citywide	15555	286
2009-11-01	Non Medical Emergencies	Manhattan	4250	291
2009-11-01	Non Medical Emergencies	The Bronx	3298	300
2009-11-01	Non Medical Emergencies	Staten Island	790	302
2009-11-01	Non Medical Emergencies	Brooklyn	4443	253
2009-11-01	Non Medical Emergencies	Queens	2774	307
2009-11-01	False Alarm	Citywide	1977	254
2009-11-01	False Alarm	Manhattan	353	265
2009-11-01	False Alarm	The Bronx	508	268
2009-11-01	False Alarm	Staten Island	223	260
2009-11-01	False Alarm	Brooklyn	416	217
2009-11-01	False Alarm	Queens	477	261
2009-11-01	Medical False Alarm	Citywide	328	248
2009-11-01	Medical False Alarm	Manhattan	90	256
2009-11-01	Medical False Alarm	The Bronx	60	242
2009-11-01	Medical False Alarm	Staten Island	17	210
2009-11-01	Medical False Alarm	Brooklyn	69	224
2009-11-01	Medical False Alarm	Queens	92	273
2009-11-01	All Fire/Emergency Incidents	Citywide	38197	269
2009-11-01	All Fire/Emergency Incidents	Manhattan	9820	277
2009-11-01	All Fire/Emergency Incidents	The Bronx	7701	281
2009-11-01	All Fire/Emergency Incidents	Staten Island	2136	280
2009-11-01	All Fire/Emergency Incidents	Brooklyn	10861	241
2009-11-01	All Fire/Emergency Incidents	Queens	7679	285
2009-12-01	Structural Fires	Citywide	2674	244
2009-12-01	Structural Fires	Manhattan	650	254
2009-12-01	Structural Fires	The Bronx	596	252
2009-12-01	Structural Fires	Staten Island	130	270
2009-12-01	Structural Fires	Brooklyn	816	218
2009-12-01	Structural Fires	Queens	482	259
2009-12-01	Non Structural Fires	Citywide	1358	256
2009-12-01	Non Structural Fires	Manhattan	366	253
